name,category,detail,start_time,end_time,victim_as,hijack_as,innocent_as,prefix,hijack_prefix,link
$SP_{backcon\_5}$,typo,subprefix,2016-05-20T21:30:00,,26615.0,203959,,191.86.128.0/19,191.86.129.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/
$SP_{backcon\_4}$,forged_as_path,subprefix,2016-04-16T07:00:00,,12586.0,203959,"27176, 29073",161.123.128.0/17,161.123.172.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/
$SP_{backcon\_2}$,forged_as_path,subprefix,2016-02-20T08:30:00,,25761.0,203959,"134830, 25761",72.20.0.0/19,72.20.0.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/
$SP_{bitcanal\_1}$,forged_as_path,subprefix,2015-01-07T12:00:00,,4755.0,197426,18254,115.116.0.0/16,115.116.96.0/24,https://dyn.com/blog/vast-world-of-fraudulent-routing/
$SP_{petersburg}$,forged_as_path,subprefix,2015-01-07T09:00:00,,137.0,44050,198596,192.135.32.0/23,192.135.33.0/24,https://dyn.com/blog/vast-world-of-fraudulent-routing/
$SP_{defcon}$,forged_as_path,subprefix,2008-08-10T19:30:00,,20195.0,26627,,24.120.56.0/22,24.120.56.0/24,https://dyn.com/blog/stealing-the-internet-back-1/
$SO_{iran}$,origin_change,subprefix,2018-07-30T06:15:00,,62014.0,58224,,91.108.56.0/22,91.108.58.0/24,https://www.cyberscoop.com/telegram-iran-bgp-hijacking/
$SO_{bitcanal\_3}$,origin_change,subprefix,2018-06-29T13:00:00,,131486.0,197426,,101.124.0.0/16,101.124.128.0/18,https://dyn.com/blog/shutting-down-the-bgp-hijack-factory/
$SO_{backcon\_3}$,origin_change,subprefix,2016-02-21T10:00:00,,12586.0,203959,25761,161.123.128.0/17,161.123.185.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/
$SO_{backcon\_1}$,origin_change,subprefix,2015-12-03T22:00:00,,48884.0,203959,,172.81.128.0/21,172.81.129.0/24,https://dyn.com/blog/backconnects-suspicious-bgp-hijacks/
$SO_{bitcanal\_2}$,origin_change,subprefix,2015-01-23T12:00:00,,4766.0,24196,,61.80.0.0/14,61.80.160.0/20,https://dyn.com/blog/vast-world-of-fraudulent-routing/
$SO_{h3s}$,origin_change,subprefix,2014-11-14T23:00:00,,7922.0,59790,,73.0.0.0/8,73.41.0.0/16,https://dyn.com/blog/vast-world-of-fraudulent-routing/
$SO_{pakistan}$,origin_change,subprefix,2008-02-24T18:00:00,,36561.0,17557,,208.65.152.0/22,208.65.153.0/24,https://dyn.com/blog/pakistan-hijacks-youtube-1/
$PO_{brazil}$,origin_change,moas,2014-09-10T00:30:00,,52775.0,57807,,177.200.2.0/23,177.200.2.0/23,https://dyn.com/blog/latest-isps-to-hijack/
$PO_{sprint}$,origin_change,moas,2014-09-09T13:45:00,,34547.0,1239,,95.128.184.0/22,95.128.184.0/22,https://dyn.com/blog/latest-isps-to-hijack/
$RL_{jtl}$,route_leak,prefix,2021-11-21T06:30:00,,328225.0,"37662, 36866",,156.0.233.0/24,156.0.233.0/24,https://bgpstream.com/event/284531
$RL_{stelkom}$,route_leak,prefix,2021-11-17T23:30:00,,58056.0,"5391, 43061",,37.19.64.0/21,37.19.64.0/21,https://bgpstream.com/event/284140
$RL_{itregion}$,route_leak,prefix,2021-11-16T11:30:00,,50870.0,"31500, 43966",,94.243.212.0/23,94.243.212.0/23,https://bgpstream.com/event/284088
